no,part_no,sparepart,stok,jumlah_terjual,harga,kategori_sparepart,klasifikasi
1,99000-990C5-A01,A/C FILTER ANTIALLERGEN EFFECT,banyak,tinggi,murah,fast,laris
2,99000-99023-A96,FRONT UNDER SPOILER,sedang,rendah,mahal,slow,tidak laris
3,99000-99056-A2G,ROOF END SPOILER,sedang,rendah,mahal,slow,tidak laris
4,99000-99064-B1R,"UNDER SPOILER,FRONT",sedang,rendah,mahal,slow,tidak laris
5,99000-99076-FB0,FOG LAMP BEZEL,banyak,tinggi,murah,slow,laris
6,99000-990J5-AC4,CONSOLE BOX,sedang,rendah,mahal,slow,tidak laris
7,99000-99064-B1N,"SIDE UNDER GARNISH,GRAY MET",sedang,rendah,mahal,slow,tidak laris
8,99000-990C5-A03,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",banyak,tinggi,murah,fast,laris
9,99000-990G4-A01,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",banyak,tinggi,murah,fast,laris
10,35526-71L00-000,"BRACKET, ILLUMINATION RH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
11,35566-71L00-000,"BRACKET, ILLUMINATION LH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
12,36553-71L00-000,"LAMP ASSY, ILLUMINATION RH (SWIFT SAI)",sedang,rendah,mahal,slow,tidak laris
13,36554-71L00-000,"LAMP ASSY, ILLUMINATION LH (SWIFT SAI)",sedang,rendah,mahal,slow,tidak laris
14,71735-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE RH (SWIFT SAI)",banyak,tinggi,murah,critical,laris
15,71736-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE LH (SWIFT SAI)",banyak,tinggi,murah,critical,laris
16,71750-60P20-5PK,"BEZEL, FRONT FOG LAMP RH (SWIFT SAI)",sedang,tinggi,murah,slow,laris
17,71787-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT CTR (CIAZ RS)",sedang,tinggi,murah,slow,laris
18,71788-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT SIDE (CIAZ RS)",sedang,rendah,murah,slow,tidak laris
19,71792-60P00-000,"BRACE, FRONT BUMPER SIDE LH (SWIFT SAI)",sedang,tinggi,murah,slow,laris
20,71863-79M00-ZJ3,"PROTECTOR, RR BUMPER EXT CTR (CIAZ RS)",sedang,tinggi,murah,slow,laris
21,71864-79M00-ZJ3,PROTECTOR. RR BUMPER EXT SIDE (CIAZ RS),sedang,tinggi,murah,slow,laris
22,77232-82K00-000,"PROTECTOR, SIDE SILL SPLASH (CIAZ RS)",sedang,rendah,murah,slow,tidak laris
23,71791-60P00-000,"BRACE, FRONT BUMPER SIDE RH (SWIFT SAI)",banyak,tinggi,murah,slow,laris
24,73821-62R00-5PK,"GARNISH,I/P CTR(BLACK)",banyak,tinggi,murah,slow,laris
25,73821-62R30-CF4,"GARNISH,I/P CTR",banyak,tinggi,murah,slow,laris
26,99250-68P00-000,"AC FILTER, ANTI PM2.5",banyak,tinggi,murah,fast,laris
27,99000-99036-A16,STICKER,sedang,rendah,murah,slow,tidak laris
28,99000-99036-A18,STICKER,banyak,tinggi,murah,slow,laris
29,99000-99036-B21,"GRAPHIC SET,SPORT MIND",sedang,rendah,murah,slow,tidak laris
30,99000-99036-B22,"GRAPHIC SET,SPORT MIND",sedang,tinggi,murah,slow,laris
31,990E0-78R07-000,SIDE BODY MOLDING JIMNY,sedang,rendah,mahal,slow,tidak laris
32,99115-78R10-000,FRONT BUMPER UNDER GARNISH,dikit,rendah,mahal,slow,tidak laris
33,99118-78R00-BK1,"MUD FLAP FRONT,BLACK",sedang,rendah,mahal,slow,tidak laris
34,99118-78R10-BK1,"MUD FLAP REAR,BLACK",sedang,rendah,mahal,slow,tidak laris
35,99122-78R00-000,"COVER,DOOR MIRROR (CHROME)",dikit,rendah,mahal,slow,tidak laris
36,99126-78R00-000,DOOR HANDLE ESCUTCHEON,sedang,rendah,mahal,slow,tidak laris
37,99152-78R00-000,LUGGAGE NET,sedang,rendah,mahal,slow,tidak laris
38,99152-78R10-000,REAR GATE NET,sedang,rendah,mahal,slow,tidak laris
39,99233-78R00-QKJ,"AIR VENTS,HAGANE SILVER",dikit,rendah,mahal,slow,tidak laris
40,9923D-78R10-001,"AT SHIFT PANEL,RHD,HAGANE SILVER",sedang,tinggi,mahal,slow,tidak laris
41,9923D-78R10-002,"AT SHIFT PANEL,RHD,STAIN SILVER",sedang,rendah,mahal,slow,tidak laris
42,99112-78R10-000,SIDE UNDER GARNISH,dikit,rendah,mahal,slow,tidak laris
43,75901-77RK0-WBM,"MAT SET,FLOOR (MT)",banyak,rendah,mahal,slow,tidak laris
44,75901-77RL0-WBM,"MAT SET,FLOOR (AT)",sedang,tinggi,mahal,slow,tidak laris
45,99120-78R11-000,RAIN AND WIND DEFLECTOR SET,sedang,rendah,murah,slow,tidak laris
46,75921-76G10-BKP,"HOLDER, FLOOR MAT",banyak,tinggi,murah,slow,laris
47,9912J-78R41-000,REAR DIFFERENTIAL GUARD,sedang,rendah,mahal,critical,tidak laris
48,9912J-78R31-000,FRONT DIFFERENTIAL GUARD,sedang,rendah,mahal,critical,tidak laris
49,990E0-78R48-000,CARGO PARTITION GRID (CROSSWISE),dikit,rendah,mahal,slow,tidak laris
50,99118-78R00-RD1,"MUD FLAP FRONT,RED",sedang,tinggi,mahal,slow,tidak laris
51,99118-78R10-RD1,"MUD FLAP REAR,RED",sedang,rendah,mahal,slow,tidak laris
52,990J0M55T04-010,BODY SIDE MOULDING,sedang,tinggi,murah,slow,laris
53,9911C-78R01-ZSC,FRONT GRILLE,dikit,rendah,mahal,slow,tidak laris
54,72201M76TX0-000,MUD FLAP,banyak,tinggi,murah,slow,laris
55,75901-80TL0-000,FLOOR MAT MT,banyak,tinggi,mahal,fast,tidak laris
56,75901-80TM0-000,FLOOR MAT AT,banyak,tinggi,mahal,fast,tidak laris
57,990E0-62R70-COV,WHEEL NUT COVER BLACK,banyak,tinggi,murah,fast,laris
58,99112-80T10-000,SIDE UNDER GARNISH,dikit,rendah,mahal,slow,tidak laris
59,99120-80T10-000,DOOR VISOR,sedang,tinggi,mahal,slow,tidak laris
60,99126-80T10-000,DOOR HANDLE ESCUTCHEON,sedang,tinggi,mahal,slow,tidak laris
61,99150-80T10-000,LUGGAGE MAT,sedang,tinggi,mahal,slow,tidak laris
62,99152-80T30-000,REAR GATE NET,sedang,tinggi,mahal,slow,tidak laris
63,99213-78R00-000,FOOT ILLUMINATION,sedang,rendah,mahal,slow,tidak laris
64,99213-78R10-000,GLOVE BOX ILLUMINATION,dikit,rendah,mahal,slow,tidak laris
65,99213-78R81-000,DOOR LAMP,dikit,rendah,mahal,slow,tidak laris
66,99230-78R30-001,"DECAL FOR SPARE TIRE HALF COVER, HONEYCOMB/RHINO",dikit,tinggi,mahal,slow,tidak laris
67,99230-78R30-002,"DECAL FOR SPARE TIRE HALF COVER, CAMO/RHINO",sedang,rendah,mahal,slow,tidak laris
68,9923A-77RA0-000,"STICKER, RHINO",banyak,tinggi,murah,slow,laris
69,9923B-78R51-000,"SPARE TIRE COVER, SOFT/RHINO",sedang,rendah,mahal,slow,tidak laris
70,9923K-78R00-000,WHEEL LOCK NUT SET,banyak,rendah,mahal,fast,tidak laris
71,99250-78R00-000,AC FILTER ANTI PM 2.5,banyak,tinggi,murah,fast,laris
72,9914R-80T10-001,"COVER,ASSISTANT GRIP BROWN",sedang,rendah,mahal,slow,tidak laris
73,9914R-80T10-002,"COVER,ASSISTANT GRIP BLACK",sedang,tinggi,mahal,slow,tidak laris
74,99176-78R11-000,MULTI ROOF RACK,dikit,rendah,mahal,slow,tidak laris
75,9917B-78R01-000,BICYCLE CARRIER,dikit,rendah,mahal,slow,tidak laris
76,990H0-990AO-060,1 SET DSP 5 CHANNEL BOX SUBWOFER,dikit,rendah,mahal,slow,tidak laris
77,09448-31029-000,SPRING,banyak,tinggi,murah,critical,laris
78,11320-73001-000,"PLATE,CLUTCH HOUSING LOWER",banyak,tinggi,murah,critical,laris
79,12620-73003-000,FLY WHEEL,sedang,rendah,mahal,critical,tidak laris
80,17569-82001-H17,"GASKET,WTR THERMO CAP",banyak,tinggi,murah,critical,laris
81,25510-60B01-000,"SHAFT,GEAR SHF",banyak,tinggi,murah,critical,laris
82,27842-63B00-000,"SEAL,DRIVE INTERMEDIATE,L",banyak,tinggi,murah,fast,laris
83,28180-60B00-000,"HOUSING COMP,GEAR SHF CONT",sedang,tinggi,murah,critical,laris
84,12860-82600-000,"SHAFT,INTAKE ROCKER ARM",sedang,tinggi,mahal,critical,laris
85,24761-50A00-000,"SEAL,TRANS CASE LOWER CAP",banyak,tinggi,murah,fast,laris
86,27841-63B00-000,"SEAL,DRIVE INTERMEDIATE,R",banyak,tinggi,murah,fast,laris
87,11139-86500-000,"SEAL,CYLINDER HEAD SIDE",banyak,tinggi,murah,fast,laris
88,09108-06078-000,"BOLT,STUD",banyak,tinggi,murah,critical,laris
89,09159-10045-000,NUT,banyak,tinggi,murah,fast,laris
90,09305-13007-000,BUSH,banyak,tinggi,murah,critical,laris
91,09388-00007-000,SPRING,banyak,tinggi,murah,critical,laris
92,09401-50402-000,CLAMP,banyak,tinggi,murah,slow,laris
93,09440-04019-000,SPRING,banyak,tinggi,murah,critical,laris
94,09440-17008-000,SPRING,banyak,tinggi,murah,critical,laris
95,09440-27007-000,SPRING,banyak,rendah,murah,critical,tidak laris
96,09448-12005-000,SPRING,banyak,tinggi,murah,critical,laris
97,11383-82000-000,"SEAL,TIMING BELT COVER INSIDE",banyak,tinggi,murah,fast,laris
98,11610-79100-000,"MOUNT,ENGINE FR",banyak,tinggi,murah,critical,laris
99,11710-77100-000,"MOUNT,ENGINE RR",banyak,tinggi,murah,critical,laris
100,12313-78000-000,"RING,CRANK SEAL",sedang,tinggi,murah,critical,laris
101,13330-84300-000,CHAMBER ASSY,sedang,tinggi,mahal,critical,laris
102,15100-77300-000,"PUMP ASSY,FUEL",sedang,tinggi,mahal,critical,laris
103,16910-79110-000,"GAUGE,OIL LEVEL",banyak,tinggi,murah,critical,laris
104,17111-73010-000,"FAN,COOLING",sedang,tinggi,murah,critical,laris
105,17551-82700-000,"CONNECTOR,WATER INTAKE",sedang,rendah,murah,critical,tidak laris
106,23161-65002-000,"SUPPORT,CLUTCH BEARING",banyak,rendah,murah,critical,tidak laris
107,28115-79500-000,"SEAT,GEAR SHIFT LEVER",banyak,tinggi,murah,critical,laris
108,28115-82000-000,"SEAT,GEAR SHFT CONT LEVER",banyak,rendah,murah,critical,tidak laris
109,29221-80050-000,"GEAR,T/F OUTPUT HIGH",sedang,rendah,mahal,critical,tidak laris
110,31171-71310-000,PULLEY,sedang,tinggi,murah,critical,laris
111,33410-77310-000,"COIL ASSY,IGNITION",sedang,rendah,mahal,critical,tidak laris
112,38310-80000-000,"ARM,WINDOW WIPER",banyak,tinggi,murah,slow,laris
113,41720-82000-000,"SEAT,STRUT MOUNT",banyak,tinggi,murah,critical,laris
114,43271-80000-000,"HOLDER,CENTER CAP RR",sedang,rendah,murah,slow,tidak laris
115,43461-80000-000,"NUT,FR WHEEL BEARING",banyak,tinggi,murah,fast,laris
116,43465-80000-000,"WASHER,FR WHEEL BEARING",sedang,tinggi,murah,critical,laris
117,48116-80030-000,"PLATE,CONTACT",dikit,tinggi,murah,critical,laris
118,48117-80030-000,"SEAT,CONTACT",banyak,rendah,murah,critical,tidak laris
119,48128-80030-000,"COLLAR,CONTACT PLATE",sedang,tinggi,murah,slow,laris
120,48526-82000-000,"MOUNT,STEERING RACK SIDE",banyak,tinggi,murah,critical,laris
121,48571-82000-000,"BOOT,STEERING PINION SIDE",sedang,tinggi,murah,critical,laris
122,48900-77300-000,"DRAG ROD, STEERING",sedang,rendah,mahal,critical,tidak laris
123,49400-79001-000,"PEDAL,ACCELERATOR",sedang,tinggi,murah,critical,laris
124,51300-77310-000,"BOOSTER ASSY,BRAKE MASTER",sedang,rendah,mahal,critical,tidak laris
125,52400-67821-000,PISTON CUP/BOOT SET,banyak,tinggi,mahal,critical,laris
126,53401-67010-000,"CYLINDER ASSY,RR RH WHEEL",sedang,rendah,mahal,critical,tidak laris
127,53401-83040-000,"CYLINDER ASSY,REAR WHEEL,R",sedang,tinggi,mahal,critical,laris
128,53402-67010-000,"CYLINDER ASSY,RR LH WHEEL",sedang,rendah,mahal,critical,tidak laris
129,53402-83040-000,"CYLINDER ASSY,REAR WHEEL,L",sedang,rendah,mahal,critical,tidak laris
130,53610-58040-000,"ANCHOR ASSY,RR BRAKE SHOE",sedang,rendah,mahal,critical,tidak laris
131,55213-82020-000,"SPRING,ANTI RATTLE OUTER",banyak,rendah,murah,critical,tidak laris
132,64520-80011-000,"PANEL,SIDE BODY FR UPPER LH",sedang,rendah,murah,slow,tidak laris
133,69320-80110-000,"HINGE,FR DOOR LOWER RH",sedang,tinggi,murah,slow,laris
134,72412-80000-000,"STAY,FR WINDOW LOCK LH",banyak,tinggi,murah,slow,laris
135,72420-80010-000,"HINGE,FRONT WINDOW",banyak,tinggi,murah,slow,laris
136,73411-83000-55Y,"LID,GLOVE BOX INSTPNL",sedang,tinggi,murah,slow,laris
137,73910-52002-000,"HANDLE,RR GATE LOCK",dikit,rendah,murah,slow,tidak laris
138,77110-80810-281,"EXTENSION,FRONT FENDER,R",sedang,rendah,mahal,slow,tidak laris
139,77120-80810-281,"EXTENSION,FRONT FENDER,L",dikit,rendah,mahal,slow,tidak laris
140,77400-79891-000,LOCK SET,dikit,rendah,mahal,slow,tidak laris
141,83771-80100-000,"LID,BACK DOOR SERVICE HOLE",sedang,tinggi,murah,slow,laris
142,84701-80110-281,"MIRROR ASSY,RH",dikit,rendah,mahal,slow,tidak laris
143,84702-80110-281,"MIRROR ASSY,LH",dikit,rendah,mahal,slow,tidak laris
144,86101-73080-281,"MIRROR ASSY,RH",sedang,tinggi,mahal,slow,tidak laris
145,86102-73080-281,"MIRROR ASSY,LH",sedang,rendah,mahal,slow,tidak laris
146,89260-82101-000,"CAP ASSY,FUEL FILLER",sedang,tinggi,murah,slow,laris
147,09471-12106-000,"BULB,12V55W,H3",banyak,tinggi,murah,fast,laris
148,11710-63B10-000,"MOUNTING COMP,ENGINE,RR",sedang,tinggi,mahal,critical,laris
149,17111-84000-000,FAN,sedang,rendah,murah,critical,tidak laris
150,09159-16011-000,NUT,banyak,tinggi,murah,fast,laris
151,38452-60B00-000,"CAP,WASHER TANK",sedang,rendah,murah,slow,tidak laris
152,72311-60B00-000,"LINING,FRONT FENDER,R",sedang,rendah,mahal,slow,tidak laris
153,72316-60B00-000,"LINING,FRONT FENDER,L",banyak,tinggi,mahal,slow,tidak laris
154,41742-60B00-000,"WASHER,BEARING UPPER",sedang,tinggi,murah,critical,laris
155,41743-60B00-000,"WASHER,BEARING LOWER",banyak,rendah,murah,critical,tidak laris
156,41744-60B00-000,"SPACER,FRONT STRUT BEARING",banyak,rendah,murah,critical,tidak laris
157,84702-83000-5PK,"MIRROR ASSY,OUT REAR VIEW,L",dikit,rendah,mahal,slow,tidak laris
158,09283-56002-000,"SEAL,OIL,56X72.2X7.8",banyak,tinggi,murah,fast,laris
159,09381-65004-000,CIRCLIP,sedang,rendah,murah,slow,tidak laris
160,09440-24010-000,SPRING,sedang,tinggi,murah,critical,laris
161,09440-24011-000,SPRING,banyak,tinggi,murah,critical,laris
162,09443-12038-000,SPRING,banyak,rendah,murah,critical,tidak laris
163,11390-60A11-000,"COVER,TIMING BELT,OUTSIDE",banyak,rendah,murah,critical,tidak laris
164,11710-77500-000,"MOUNTING COMP,ENGINE REAR",banyak,tinggi,mahal,critical,laris
165,12140-60A50-000,"RING SET,PISTON",banyak,tinggi,mahal,critical,laris
166,12140-60A50-050,"RING SET,PISTON,OS:050",sedang,tinggi,mahal,critical,laris
167,12821-60A01-000,"SPRING,TENSIONER",sedang,rendah,murah,critical,tidak laris
168,17550-77500-000,"PIPE,WATER INLET",banyak,tinggi,mahal,fast,tidak laris
169,23269-60A00-000,"SPRING,CLUTCH RLSE RTN",banyak,rendah,murah,critical,tidak laris
170,24110-77500-000,"SHAFT,T/M INPUT",sedang,rendah,mahal,critical,tidak laris
171,24741-77501-000,"RETAINER,INPUT SHAFT BEARING",sedang,rendah,murah,critical,tidak laris
172,35170-77500-000,SOCKET,banyak,tinggi,murah,fast,laris
173,37610-77500-000,"SWITCH ASSY,BACK-UP LAMP",sedang,rendah,murah,slow,tidak laris
174,38102-77500-000,"LINK ASSY,WIPER",sedang,rendah,mahal,critical,tidak laris
175,41331-77500-000,"BUSHING,REAR SPRING,FRONT",banyak,tinggi,murah,critical,laris
176,42150-77500-000,"BUMPER COMP,REAR SPRING",banyak,tinggi,murah,slow,laris
177,45341-77500-000,"BUSHING,TENSION ROD",sedang,tinggi,murah,critical,laris
178,48500-77500-000,"BOX ASSY,STRG GEAR",dikit,rendah,mahal,critical,laris
179,48534-77500-000,"PLUNGER,STEERING RACK",sedang,rendah,murah,critical,tidak laris
180,48571-77500-000,"BOOT,STEERING RACK,NO.1",banyak,rendah,murah,critical,tidak laris
181,48572-77500-000,"BOOT,STEERING RACK,NO.2",banyak,tinggi,murah,critical,laris
182,48900-77500-000,"ROD ASSY,STEERING DRAG",sedang,rendah,mahal,critical,tidak laris
183,49400-77500-000,"PEDAL ASSY,ACCEL",sedang,rendah,mahal,critical,tidak laris
184,62381-79000-000,"NUT,INSTRUMENT PANEL SUPPORT",banyak,tinggi,murah,fast,laris
185,09283-17022-000,"SEAL,OIL,17X28X7",banyak,tinggi,murah,fast,laris
186,23266-77501-000,"ARM,CLUTCH RLSE",sedang,rendah,murah,critical,tidak laris
187,33321-63B10-000,"CAP,DISTRIBUTOR",dikit,rendah,murah,slow,tidak laris
188,38274-74300-000,CAP,banyak,rendah,murah,slow,tidak laris
189,81810-77500-000,"STOP COMP,FRONT DOOR OPEN",sedang,tinggi,murah,slow,laris
190,84752-85700-5PK,"GARNISH,BRKT INR,R(BLACK)",sedang,rendah,murah,slow,tidak laris
191,38101-70A00-000,"MOTOR ASSY,WIPER",dikit,tinggi,mahal,critical,laris
192,53402-63B00-000,"CYLINDER ASSY,REAR WHEEL L",sedang,tinggi,mahal,critical,laris
193,15101-63B04-000,"GAUGE & PUMP SET,FUEL",dikit,rendah,mahal,critical,laris
194,37400-60B12-000,"SWITCH ASSY,COMB",dikit,rendah,mahal,slow,tidak laris
195,12761-77500-000,"BELT,TIMING",sedang,rendah,murah,critical,tidak laris
196,09283-50005-000,"SEAL,OIL,50X65X7",banyak,tinggi,murah,fast,laris
197,46630-60B01-000,"JOINT,STABILIZER BAR",sedang,rendah,murah,critical,tidak laris
198,41800-72C50-000,"STRUT ASSY,REAR SUSPENSION",dikit,rendah,mahal,critical,laris
199,43431-60B20-000,"SEAL,FR WHL BRG INNER OIL",banyak,tinggi,murah,fast,laris
200,34113-70A01-000,"HOOD ASSY,METER",sedang,tinggi,mahal,slow,tidak laris
201,11189-73002-000,"GASKET,CYLINDER HEAD",sedang,tinggi,murah,critical,laris
202,49160-60E10-000,"PULLEY,BELT TENSION",sedang,rendah,mahal,critical,tidak laris
203,09280-24009-000,"O RING,D:3.6,ID:23.5",banyak,tinggi,murah,fast,laris
204,09401-57901-000,CLAMP,sedang,tinggi,murah,slow,laris
205,09440-05037-000,SPRING,banyak,tinggi,murah,critical,laris
206,09440-08029-000,SPRING,banyak,tinggi,murah,critical,laris
207,11710-60A01-000,"MOUNTING COMP,ENG RR",banyak,tinggi,mahal,critical,laris
208,14181-60A20-000,"GASKET,EXH MANIF & CTR PIPE",dikit,tinggi,mahal,critical,laris
209,28138-60A01-000,"BOOT,GEAR SHF CONT LEVER NO.3",banyak,rendah,murah,slow,tidak laris
210,34810-60A11-000,"GAUGE ASSY,FUEL LEVEL",dikit,tinggi,mahal,critical,laris
211,38450-61A00-000,"TANK ASSY,WASHER",sedang,rendah,mahal,slow,tidak laris
212,48721-60A00-000,"ARM,IDLER",banyak,tinggi,mahal,critical,laris
213,48750-60A00-000,"BUSHING,IDLER ARM",sedang,tinggi,murah,critical,laris
214,53441-56B00-000,"SPRING,WHEEL CYLINDER",sedang,tinggi,murah,critical,laris
215,72115-56B01-000,"CLIP,FRONT GRILLE",banyak,tinggi,murah,slow,laris
216,72115-60A00-000,"CLIP,FRONT GRILLE",sedang,tinggi,murah,slow,laris
217,72481-60A01-000,"LINING,FRONT FENDER,R",sedang,rendah,mahal,slow,tidak laris
218,72482-60A01-000,"LINING,FRONT FENDER,L",sedang,tinggi,mahal,slow,tidak laris
219,73610-60A10-5PK,"LOUVER,CENTER VENT",banyak,tinggi,mahal,slow,tidak laris
220,09263-25051-000,"BEARING,25.4X33.3X31.7",sedang,tinggi,murah,critical,laris
221,15410-63401-000,FUEL FILTER ST-100/SJ-410,banyak,tinggi,murah,fast,laris
222,73210-70A00-5PK,"LOUVER ASSY,VENTILATOR,R",sedang,tinggi,murah,slow,laris
223,11141-73003-000,"GASKET,CYLINDER HEAD",sedang,tinggi,mahal,critical,laris
224,53401-56B00-000,"CYLINDER ASSY,RR WHEEL BRAKE,R",sedang,rendah,mahal,critical,tidak laris
225,55191-56B00-000,"PIN,CYLINDER SLIDE",sedang,tinggi,murah,critical,laris
226,09265-25029-000,"BEARING,25X52X19.25",banyak,tinggi,mahal,critical,laris
227,12911-71C00-000,"VALVE,INTK",sedang,rendah,murah,critical,tidak laris
228,23820-70C00-000,"CYLINDER ASSY,CLUTCH OPERATING",dikit,rendah,mahal,critical,laris
229,24431-70C00-000,"RING,1ST GEAR SYNCH",sedang,rendah,murah,critical,tidak laris
230,27432-70C00-000,"SEAL,DIFF SIDE OIL",banyak,tinggi,murah,fast,laris
