no,part_no,sparepart,stok,jumlah_terjual,harga,kategori_sparepart,klasifikasi
694,51300-65J00-000,"BOOSTER ASSY,BRAKE MASTER",dikit,rendah,mahal,critical,laris
695,55191-65J00-000,MAIN SLIDE PIN,sedang,tinggi,murah,critical,laris
696,55192-50J00-000,SLIDE PIN SET,sedang,rendah,murah,critical,tidak laris
697,55201-50J00-000,"BOOT,PIN",sedang,tinggi,murah,critical,laris
698,55206-50J00-000,"BOLT,PIN",banyak,tinggi,murah,critical,laris
699,55234-50J00-000,"LINER-A,PAD",sedang,tinggi,murah,slow,laris
700,55235-50J00-000,"LINER-B,PAD",sedang,rendah,murah,slow,tidak laris
701,57610-65J10-000,"PANEL,FRONT FENDER,R (WITH TURN SIGNAL)",dikit,rendah,mahal,slow,tidak laris
702,73610-54J01-C48,"LOUVER CENTER VENT,R",sedang,tinggi,murah,slow,laris
703,09283-44015-000,"SEAL,OIL,44X60X9.5",banyak,tinggi,murah,fast,laris
704,11100-65J01-000,"HEAD ASSY,CYLINDER",dikit,rendah,mahal,critical,laris
705,11189-65J00-000,"GASKET,CYLINDER HEAD COVER",sedang,rendah,murah,critical,tidak laris
706,11192-65J00-000,"HOSE,PCV",banyak,tinggi,murah,fast,laris
707,83719-65J00-000,"WEATHERSTRIP,FR DR INNER,R",sedang,tinggi,mahal,slow,tidak laris
708,83729-65J00-000,"WEATHERSTRIP,FR DR INNER,L",banyak,tinggi,mahal,slow,tidak laris
709,83739-65J00-000,"WEATHERSTRIP,RR DR INNER,R",sedang,tinggi,murah,slow,laris
710,83749-65J00-000,"WEATHERSTRIP,RR DR INNER,L",sedang,rendah,murah,slow,tidak laris
711,83811-65J00-000,"WEATHERSTRIP,FR DR OUT,R",banyak,rendah,murah,slow,tidak laris
712,83821-65J00-000,"WEATHERSTRIP,FR DR OUT,L",dikit,rendah,murah,slow,tidak laris
713,83831-65J00-000,"WEATHERSTRIP,RR DR OUT,R",sedang,rendah,murah,slow,tidak laris
714,83841-65J00-000,"WEATHERSTRIP,RR DR OUT,L",dikit,rendah,murah,slow,tidak laris
715,83900-76820-000,"KEY ASSY,SPARE TIRE NUT LOCK",sedang,rendah,mahal,slow,tidak laris
716,84645-65J00-000,"WEATHERSTRIP,RR DR CTR PLR,R",sedang,rendah,murah,slow,tidak laris
717,84651-65J00-000,"WEATHERSTRIP,FR DR OPNG,L",dikit,rendah,mahal,slow,tidak laris
718,84661-65J00-000,"WEATHERSTRIP,RR DR OPNG,R",sedang,rendah,mahal,slow,tidak laris
719,84671-65J00-000,"WEATHERSTRIP,RR DR OPNG,L",dikit,rendah,mahal,slow,tidak laris
720,84681-65J00-000,"WEATHERSTRIP,BACK DR OPNG",sedang,rendah,mahal,slow,tidak laris
721,77641-65J00-5PK,"MOLDING,ROOF DRIP FRT,,L (BLACK)",sedang,rendah,murah,slow,tidak laris
722,77641-65J11-5PK,"MOLDING,ROOF DRIP FRT,L (BLACK)",dikit,tinggi,murah,slow,laris
723,78219-65J10-5PK,"CAP,ROOF RAIL",sedang,rendah,murah,slow,tidak laris
724,82510-65J50-000,"LATCH ASSY,BACK DOOR",dikit,tinggi,mahal,critical,laris
725,69310-65J00-000,"HINGE, FR DOOR 1",banyak,rendah,murah,slow,tidak laris
726,71711-65J61-799,BUMPER FRONT,dikit,rendah,mahal,slow,tidak laris
727,71830-65J00-000,"HOLDER COMP, RR BUMPER NO.1",sedang,rendah,murah,slow,tidak laris
728,72481-65J00-000,"LINING, FR FENDER, R",sedang,rendah,mahal,slow,tidak laris
729,72482-65J00-000,"LINING FENDER, L",sedang,rendah,mahal,slow,tidak laris
730,72492-65J00-000,"PAD, FR FENDER RR",dikit,rendah,murah,critical,tidak laris
731,75521-65J00-000,"LINING,RR WHEEL HSG,R",dikit,rendah,mahal,slow,tidak laris
732,77541-65J00-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",banyak,rendah,murah,slow,tidak laris
733,77541-65J11-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",banyak,tinggi,murah,slow,laris
734,77543-65J00-5PK,"MOLDING,ROOF DRIP REAR,R (BLACK)",banyak,tinggi,mahal,slow,tidak laris
735,35320-65J41-000,"UNIT,HEADLAMP LH",sedang,tinggi,mahal,critical,laris
736,11400-65892-000,"GASKET SET,ENGINE",sedang,tinggi,mahal,critical,laris
737,12140-65J50-050,"RING SET,PISTON,OS:0.50",banyak,rendah,mahal,critical,tidak laris
738,12300-85860-0AA,"BEARING SET,CRANKSHAFT(US)",banyak,tinggi,murah,critical,laris
739,12300-85860-0BA,"BEARING SET,CRANKSHAFT(US)",dikit,rendah,murah,critical,tidak laris
740,12300-85860-0CA,"BEARING SET,CRANKSHAFT(US)",sedang,rendah,murah,critical,tidak laris
741,12300-85860-0DA,"BEARING SET,CRANKSHAFT(US)",sedang,rendah,murah,critical,tidak laris
742,12300-85860-0EA,"BEARING SET,CRANKSHAFT(US)",sedang,tinggi,murah,critical,laris
743,37145-63J01-000,"KEY,BLANK",sedang,tinggi,murah,slow,laris
744,09103-14025-000,"BOLT,14X60",sedang,rendah,murah,critical,tidak laris
745,09159-10117-000,NUT,banyak,tinggi,murah,fast,laris
746,09159-14028-000,NUT,banyak,tinggi,murah,fast,laris
747,09159-14030-000,NUT,banyak,tinggi,murah,fast,laris
748,12340-85FC0-0A0,"BEARING SET,CRANKSHAFT(STD)",sedang,tinggi,murah,critical,laris
749,12340-85FC0-B0C,"BEARING SET,CRANKSHAFT(STD)",banyak,tinggi,murah,critical,laris
750,12340-85FC0-C0D,"BEARING SET,CRANKSHAFT(STD)",sedang,tinggi,murah,critical,laris
751,12340-85FC0-D0E,"BEARING SET,CRANKSHAFT(STD)",banyak,tinggi,murah,critical,laris
752,17700-65J00-000,RADIATOR ASSY (M/T),dikit,rendah,mahal,critical,laris
753,49140-65J00-000,"TANK ASSY,POWER STEERING OIL",banyak,tinggi,mahal,critical,laris
754,49214-65J00-000,"HOSE,SUCTION",sedang,tinggi,murah,fast,laris
755,49230-65J00-000,"HOSE COMP,PRESSURE",dikit,rendah,mahal,fast,tidak laris
756,12100-85824-0B0,"BEARING SET,CONNROD",sedang,rendah,murah,critical,tidak laris
757,12220-65J01-000,CRANKSHAFT,dikit,rendah,mahal,critical,laris
758,17852-65D00-000,"HOSE,WTR BYPASS NO.2",banyak,rendah,murah,fast,tidak laris
759,28210-65J11-000,"CABLE ASSY,SELECT",sedang,tinggi,mahal,critical,laris
760,37720-65J10-000,"SWITCH ASSY,SHIFT",dikit,rendah,mahal,slow,tidak laris
761,48525-65J00-000,"BUSHING,STEERING MOUNT",sedang,rendah,murah,critical,tidak laris
762,48830-65J00-000,"TIE-ROD,STEERING",sedang,tinggi,mahal,critical,laris
763,84611-65J00-000,"MOLDING,WINDSHIELD",sedang,rendah,mahal,slow,tidak laris
764,84641-65J00-000,"WEATHERSTRIP,FT DR OPNG,R",sedang,tinggi,mahal,slow,tidak laris
765,35261-65J00-000,BALLAST ASSY,dikit,rendah,mahal,slow,tidak laris
766,14281-65J11-000,"MOUNTING,MUFFLER",sedang,tinggi,murah,critical,laris
767,83961-65J00-000,CARRIER SPARETIRE,dikit,rendah,mahal,slow,tidak laris
768,53810-76G00-000,PISTON CUP/BOOT SET,sedang,tinggi,mahal,critical,laris
769,15100-8000V-XNA,"PUMP ASSY,FUEL",dikit,rendah,mahal,critical,laris
770,35670-65J21-000,"LAMP UNIT,RR COMBINATION LH",dikit,rendah,mahal,slow,tidak laris
771,17140-77E07-000,"PULLEY COMP,COOLING FAN",sedang,tinggi,mahal,critical,laris
772,35650-65J21-000,"LAMP UNIT,RR COMBINATION RH",dikit,rendah,mahal,slow,tidak laris
773,35121-83021-000,"UNIT,LAMP",sedang,rendah,mahal,critical,tidak laris
774,35650-80JA0-000,"UNIT,RR COMBINATION RH",dikit,rendah,mahal,critical,laris
775,35670-80JA0-000,"UNIT,RR COMBINATION LH",dikit,rendah,mahal,critical,laris
776,15100-60AV1-000,"PUMP ASSY,FUEL",sedang,tinggi,mahal,critical,laris
777,51100-8076V-000,"CYLINDER ASSY,BRAKE MASTER",dikit,rendah,mahal,critical,laris
778,11400-65865-000,"GASKET SET,ENGINE",dikit,rendah,mahal,critical,laris
779,11610-80JA0-000,"MOUNTING COMP,ENGINE RH",sedang,tinggi,mahal,critical,laris
780,11620-80JA0-000,"MOUNTING COMP,ENGINE LH",banyak,tinggi,mahal,critical,laris
781,11641-79J00-000,"BRACKET,ENG RH MTG",banyak,tinggi,mahal,slow,tidak laris
782,11710-80J00-000,"MOUNTING COMP,ENGINE RR",banyak,tinggi,mahal,critical,laris
783,11710-80J10-000,"MOUNTING COMP,ENGINE RR",sedang,rendah,mahal,critical,tidak laris
784,11720-80JA0-000,"MOUNTING COMP,ENGINE FR",sedang,rendah,mahal,critical,tidak laris
785,13400-80JA0-000,"BODY ASSY,THROTTLE",dikit,rendah,mahal,critical,laris
786,14185-80J00-000,"CLAMP,EXH PIPE",sedang,rendah,murah,slow,tidak laris
787,14250-80JB2-000,"PIPE,EXHAUST CENTER",dikit,rendah,mahal,fast,tidak laris
788,14300-80J00-000,MUFFLER,sedang,tinggi,mahal,critical,laris
789,17700-80JA0-000,RADIATOR ASSY (A/T),dikit,rendah,mahal,critical,laris
790,17700-80JB0-000,RADIATOR ASSY (M/T),dikit,rendah,mahal,critical,laris
791,17830-55GA0-000,"PIPE,HEATER INLET",banyak,tinggi,murah,fast,laris
792,17840-55GA0-000,"PIPE,WATER INLET NO.1",banyak,tinggi,murah,fast,laris
793,17860-80JA0-000,"PIPE COMP,WTR INLET N0.2",banyak,tinggi,murah,fast,laris
794,17875-55GA0-000,"HOSE,HEATER INLET NO.2",banyak,tinggi,murah,fast,laris
795,17936-80JA0-000,"HOSE,RSVR TANK VENT",banyak,tinggi,murah,fast,laris
796,22100-80J21-000,"COVER ASSY,CLUTCH",dikit,rendah,mahal,slow,tidak laris
797,23820-79J00-000,"CYLINDER ASSY,CLUTCH OPERATING",sedang,rendah,mahal,critical,tidak laris
798,23856-79J00-000,"JOINT,CLUTCH OIL",sedang,tinggi,murah,critical,laris
799,23800-54810-000,PISTON SET,sedang,tinggi,murah,critical,laris
800,28300-80J00-000,"CABLE ASSY,SHIFT & SELECT CONT",dikit,rendah,mahal,critical,laris
801,29365-73J00-000,"CLIP,GEAR CONT CABLE NO.2",sedang,tinggi,murah,slow,laris
802,41602-80J01-000,"STRUT ASSY,FRONT SPNSN,L",dikit,rendah,mahal,critical,laris
803,41710-80J00-000,"SUPPORT COMP,FRONT STRUT",sedang,tinggi,mahal,critical,laris
804,42111-80J00-000,"STOPPER,FRONT BUMP",sedang,tinggi,murah,slow,laris
805,42431-80J00-000,"MOUNT,STABILIZER BAR",sedang,tinggi,murah,critical,laris
806,45111-80J52-000,"KNUCKLE,STEERING,R",dikit,rendah,mahal,critical,laris
807,48534-79J00-000,"PLUNGER,STEERING RACK",sedang,rendah,mahal,critical,tidak laris
808,38480-80J00-000,"NOZZLE COMP,WASHER",banyak,tinggi,murah,fast,laris
809,41601-80J01-000,"STRUT ASSY,FRONT SPNSN,R",dikit,rendah,mahal,critical,laris
810,55192-80J00-000,PIN-B ASSY,banyak,rendah,murah,critical,tidak laris
811,55321-80J00-000,"COVER,BRAKE DISC DUST",sedang,tinggi,murah,slow,laris
812,57300-80810-000,"PANEL SET,FRONT HOOD",dikit,rendah,mahal,slow,tidak laris
813,58120-80J00-000,"BRACE COMP,LAMP SUPPORT,L",banyak,tinggi,murah,slow,laris
814,58230-79J00-000,"MEMBER COMP,HOOD LOCK",dikit,rendah,mahal,slow,tidak laris
815,58240-80J00-000,"BRACE COMP,HOOD LOCK",banyak,tinggi,murah,slow,laris
816,72321-80J00-000,LINNING FRONT FENDER R,banyak,tinggi,mahal,slow,tidak laris
817,72322-80J00-000,"LINNING,FRONT FENDER L",sedang,tinggi,mahal,slow,tidak laris
818,72390-80J00-000,"COVER ASSY,ENGINE UNDER R",sedang,tinggi,mahal,slow,tidak laris
819,73310-80J00-P4Z,"PANEL COMP,INSTRUMENT CLUSTER",sedang,rendah,mahal,slow,tidak laris
820,73610-80J00-FC6,"LOUVER COMP,CTR VENT",sedang,tinggi,mahal,slow,tidak laris
821,77212-80J00-5PK,"PROTECTOR,FR SPLASH R (BLACK)",sedang,tinggi,murah,slow,laris
822,78216-80J00-5PK,"CAP,ROOF RAIL FR,R",sedang,tinggi,murah,slow,laris
823,78217-80J00-5PK,"CAP,ROOF RAIL RR,R",sedang,tinggi,murah,slow,laris
824,78220-80J00-N1V,"RAIL COMP,ROOF L",sedang,rendah,mahal,slow,tidak laris
825,78226-80J00-5PK,"CAP,ROOF RAIL FR,L",sedang,rendah,murah,slow,tidak laris
826,78227-80J00-5PK,"CAP,ROOF RAIL RR,L",banyak,tinggi,murah,slow,laris
827,82110-79J00-000,"LATCH COMP,HOOD",sedang,tinggi,mahal,critical,laris
828,09262-28041-000,"BEARING,28X58X16",sedang,tinggi,murah,critical,laris
829,88910-80J00-P8G,"SHELF COMP,RR PARCEL",dikit,rendah,mahal,slow,tidak laris
830,95541-80J00-000,SENSOR,sedang,rendah,murah,critical,tidak laris
831,95710-80J00-000,"HOSE,SUCTION",sedang,tinggi,mahal,fast,laris
832,95720-80J00-000,"HOSE,DISCHARGE",sedang,rendah,mahal,fast,tidak laris
833,95860-80J00-000,FILTER COMP,banyak,tinggi,murah,fast,laris
834,71760-80J00-5PK,"EXTENSION,FR BUMPER CTR(BLACK)",dikit,rendah,mahal,slow,tidak laris
835,82831-63J20-000,"FRAME S/COMP,REAR DOOR OUT R",sedang,tinggi,mahal,critical,laris
836,83811-80J00-000,"WEATHERSTRIP,FR DOOR OUT R",sedang,rendah,murah,slow,tidak laris
837,83821-80J00-000,"WEATERSTRIP,FR DOOR OUT L",dikit,tinggi,murah,slow,laris
838,83831-80J00-000,"WEATERSTRIP,REAR DOOR OUT R",sedang,rendah,murah,slow,tidak laris
839,83841-80J00-000,"WEATERSTRIP,REAR DOOR OUT L",sedang,tinggi,murah,slow,laris
840,83970-79J10-000,"GARNISH COMP,RR DR RR OUTER R",sedang,tinggi,murah,slow,laris
841,84592-80J00-000,"GARNISH,QTR WINDOW GLASS L",sedang,tinggi,murah,slow,laris
842,84730-80J00-000,"MIRROR COMP,OUT REAR VIEW R",sedang,rendah,murah,slow,tidak laris
843,84740-80J00-000,"MIRROR COMP,OUT REAR VIEW L",sedang,tinggi,murah,slow,laris
844,45151-80J52-000,"KNUCKLE,STEERING,L",dikit,rendah,mahal,critical,laris
845,95200-63JA1-000,COMPRESSOR ASSY,dikit,rendah,mahal,critical,laris
846,77330-80J00-000,"OUTLET,VENTILATOR",sedang,tinggi,murah,slow,laris
847,78210-80J00-N1V,"RAIL COMP,ROOF,R",dikit,rendah,mahal,slow,tidak laris
848,44102-54G51-000,"SHAFT ASSY,FRONT DRIVE,L",dikit,rendah,mahal,critical,laris
849,24111-65J01-000,"SHAFT,TRANSMISSION INPUT",dikit,rendah,mahal,critical,laris
850,28300-54G4V-000,"CABLE ASSY,SHF & SELECT CONT",dikit,rendah,mahal,critical,laris
851,89300-61881-000,"CAP SET,FUEL FILLER",sedang,tinggi,mahal,slow,tidak laris
852,15100-8081V-000,DIAPHRAGM SET,sedang,tinggi,murah,critical,laris
853,72410-65J01-000,"GARNISH COMP,FRT HOOD, R",banyak,tinggi,murah,slow,laris
854,38821-65J00-000,"ARM ASSY,RR WIPER",banyak,tinggi,murah,slow,laris
855,72420-65J01-000,"GARNISH,FRT HOOD, L",sedang,tinggi,murah,slow,laris
856,12841-60A30-000,"ARM,VALVE ROCKER",sedang,rendah,murah,critical,tidak laris
857,48541-82H10-000,"BUSHING,STEERING RACK",sedang,rendah,murah,critical,tidak laris
858,75511-56K00-000,"LINING, RR FENDER, R",sedang,rendah,mahal,slow,tidak laris
859,17700-66D02-000,RADIATOR ASSY,dikit,rendah,mahal,critical,laris
860,35650-73K00-000,"LAMP UNIT,RR COMB RH",sedang,rendah,mahal,slow,tidak laris
861,35670-73K00-000,"LAMP UNIT,RR COMB LH",dikit,rendah,mahal,slow,tidak laris
862,71741-73K00-5PK,"GRILLE, RADIATOR (TYPE 3)",sedang,tinggi,mahal,slow,tidak laris
863,71821-73K10-000,"HOLDER, RR BUMPER SIDE RH (TYPE 3)",sedang,tinggi,murah,slow,laris
864,71822-73K10-000,"HOLDER, RR BUMPER SIDE LH (TYPE 3)",sedang,rendah,murah,slow,tidak laris
865,73821-80J00-5PK,GARNISH CENTER,dikit,rendah,murah,slow,tidak laris
866,53401-76G02-000,"CYLINDER ASSY,REAR WHEEL",sedang,rendah,mahal,critical,tidak laris
867,15100-63840-000,"PUMP ASSY,FUEL",dikit,rendah,mahal,critical,laris
868,71100-80J01-000,"CROSSMEMBER, FRONT LOWER",dikit,rendah,mahal,critical,laris
869,29344-65D01-5PK,"KNOB,T/F GEAR SHF CONT",sedang,rendah,murah,slow,tidak laris
870,16920-8001V-000,"CAP,OIL FILLER",sedang,tinggi,murah,slow,laris
871,36210-85060-4GF,"LAMP ASSY,ROOM",dikit,rendah,mahal,slow,tidak laris
872,12745-77E01-000,"SPROCKET COMP,IDLER",dikit,rendah,mahal,critical,laris
873,83851-80J10-000,"WEATERSTRIP,FR DR INR R",sedang,rendah,murah,slow,tidak laris
874,83861-80J10-000,"WEATERSTRIP,FR DR INR L",banyak,tinggi,murah,slow,laris
875,15430-53F50-000,"SUB FILTER,FUEL",banyak,tinggi,murah,fast,laris
876,77181-63J20-0CE,"GARNISH, FRONT PILLAR, R",sedang,tinggi,murah,slow,laris
877,71750-65J03-000,"SKIRT COMP, FR AIR DAM",sedang,tinggi,mahal,slow,tidak laris
878,41800-63J02-000,"ABSORBER ASSY,REAR SHOCK",dikit,rendah,mahal,critical,laris
879,11610-75F50-000,"MOUNTING,ENG FR",sedang,tinggi,murah,critical,laris
880,89101-60K10-000,TANK ASSY FUEL,sedang,tinggi,mahal,critical,laris
881,37990-80J00-000,"SWITCH ASSY,POWER WINDOW MA",dikit,rendah,mahal,slow,tidak laris
882,84572-75K00-000,"MOLDING,BACK WINDOW",sedang,tinggi,murah,slow,laris
883,72391-63J10-000,"COVER,ENGINE UNDER RH",sedang,rendah,mahal,slow,tidak laris
884,22800-65D11-000,"PUMP ASSY,OIL",dikit,rendah,mahal,critical,laris
885,11610-80JB0-000,"MOUNTING,ENG RH",sedang,tinggi,mahal,critical,laris
886,11720-80JB0-000,"MOUNTING,ENG FR",sedang,rendah,mahal,critical,tidak laris
887,11191-65J01-000,"HOSE,BREATHER",banyak,rendah,murah,fast,tidak laris
888,41800-80J01-000,"ABSORBER ASSY,REAR SHOCK",dikit,rendah,mahal,critical,laris
889,82160-65J02-5PK,"CABLE COMP,HOOD LATCH RELEASE",banyak,tinggi,murah,critical,laris
890,20002-62J52-000,"TRANSMISSION ASSY,AUTOMATIC",dikit,rendah,mahal,critical,laris
891,72310-80J01-000,"STAY COMP,FRONT HOOD",sedang,tinggi,murah,slow,laris
892,71811-80J00-799,"BUMPER,REAR (PRIMARY)",dikit,rendah,mahal,slow,tidak laris
893,22700-65J11-000,"CONVERTER COMP,TORQUE",dikit,rendah,mahal,critical,laris
894,78170-79J10-000,"CLIP,ROOF DRIP MOLDING",sedang,tinggi,murah,slow,laris
895,37310-62J21-000,"SWITCH ASSY,WIPER & WASHER",dikit,rendah,mahal,slow,tidak laris
896,42412-78K00-000,"BUSHING,FR STABILIZER MOUNT",dikit,tinggi,murah,critical,laris
897,12711-62G01-000,"CAMSHAFT,INTAKE",dikit,rendah,mahal,critical,laris
898,12100-65831-0B0,"PISTON SET,STD,MARK 2",sedang,tinggi,mahal,critical,laris
899,77531-65J01-000,"MOLDING,RR WHEEL FLANGE",banyak,rendah,murah,slow,tidak laris
900,77841-57K00-DFT,EMBLEM SPORT (RED),sedang,tinggi,murah,slow,laris
901,12750-85FA1-000,"SPROCKET,IDLER NO.2",sedang,rendah,mahal,critical,tidak laris
902,55211-65D14-000,"DISC,FRONT BRAKE",sedang,rendah,mahal,critical,tidak laris
903,56110-80J82-000,"ACTUATOR ASSY,ABS",dikit,rendah,mahal,critical,laris
904,49410-80102-000,"PEDAL,ACCELERATOR",sedang,tinggi,murah,critical,laris
905,89101-60K00-000,TANK ASSY FUEL,dikit,rendah,mahal,critical,laris
906,71742-75K00-0PG,"GARNISH,RADR UPR GRILLE (CHROME)",sedang,tinggi,mahal,slow,tidak laris
907,46642-64G01-000,"BRACKET,REAR STABILIZER BAR",banyak,rendah,murah,slow,tidak laris
908,55440-80J00-000,PISTON ASSY,banyak,rendah,mahal,critical,tidak laris
909,41800-75K11-000,"ABSORBER ASSY,REAR SHOCK",sedang,tinggi,mahal,critical,laris
910,78488-8000V-000,"PIN,TOP BOW HINGE",sedang,tinggi,murah,critical,laris
911,41810-78K00-000,"SUPPORT COMP,FRONT STRUT",sedang,tinggi,mahal,critical,laris
912,45201-78K00-000,"ARM ASSY,FRONT SUSPENSION,R",dikit,rendah,mahal,critical,laris
913,38491-80J01-000,"HOSE ASSY,WASHER",banyak,tinggi,murah,fast,laris
914,36738-76G00-000,"COVER,FUSE BOX",dikit,rendah,murah,slow,tidak laris
915,46331-65J01-000,"BUSH,RR SPNSN CONT ROD",sedang,rendah,murah,critical,tidak laris
916,69100-65850-000,"PANEL ASSY,BACK DOOR",dikit,rendah,mahal,slow,tidak laris
917,45202-78K00-000,"ARM ASSY,FRONT SUSPENSION,L",dikit,rendah,mahal,critical,laris
918,09283-40029-000,"SEAL,OIL,40X62X8",banyak,tinggi,murah,fast,laris
919,09283-98003-000,"SEAL,OIL,98X112X7",banyak,tinggi,murah,fast,laris
920,11320-78K00-000,"PLATE,CLUTCH HSG LOWER",sedang,rendah,murah,critical,tidak laris
921,12100-65831-050,"PISTON SET,OS:0.50",banyak,rendah,mahal,critical,tidak laris
922,12100-65831-0A0,"PISTON SET,STD,MARK 1",sedang,tinggi,mahal,critical,laris
