NO,PART_NO,SPAREPART,STOK,TERJUAL,HARGA,KATEGORI,KLASIFIKASI
1,99000-990C5-A01,A/C FILTER ANTIALLERGEN EFFECT,Banyak,Tinggi,Murah,Fast,Laris
2,99000-99023-A96,FRONT UNDER SPOILER,Sedang,Rendah,Mahal,Slow,Tidak Laris
3,99000-99056-A2G,ROOF END SPOILER,Sedang,Rendah,Mahal,Slow,Tidak Laris
4,99000-99064-B1R,"UNDER SPOILER,FRONT",Sedang,Rendah,Mahal,Slow,Tidak Laris
5,99000-99076-FB0,FOG LAMP BEZEL,Banyak,Tinggi,Murah,Slow,Laris
6,99000-990J5-AC4,CONSOLE BOX,Sedang,Rendah,Mahal,Slow,Tidak Laris
7,99000-99064-B1N,"SIDE UNDER GARNISH,GRAY MET",Sedang,Rendah,Mahal,Slow,Tidak Laris
8,99000-990C5-A03,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,Laris
9,99000-990G4-A01,"A/C FILTER, ANTIBACTERIAL APPLICABLE EFFECT",Banyak,Tinggi,Murah,Fast,Laris
10,35526-71L00-000,"BRACKET, ILLUMINATION RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
11,35566-71L00-000,"BRACKET, ILLUMINATION LH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
12,36553-71L00-000,"LAMP ASSY, ILLUMINATION RH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,Tidak Laris
13,36554-71L00-000,"LAMP ASSY, ILLUMINATION LH (SWIFT SAI)",Sedang,Rendah,Mahal,Slow,Tidak Laris
14,71735-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,Laris
15,71736-61P00-000,"SUPPORT, FRONT FOG LAMP SIDE LH (SWIFT SAI)",Banyak,Tinggi,Murah,Critical,Laris
16,71750-60P20-5PK,"BEZEL, FRONT FOG LAMP RH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,Laris
17,71787-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,Laris
18,71788-79M00-ZJ3,"PROTECTOR, FR BUMPER EXT SIDE (CIAZ RS)",Sedang,Rendah,Murah,Slow,Laris
19,71792-60P00-000,"BRACE, FRONT BUMPER SIDE LH (SWIFT SAI)",Sedang,Tinggi,Murah,Slow,Laris
20,71863-79M00-ZJ3,"PROTECTOR, RR BUMPER EXT CTR (CIAZ RS)",Sedang,Tinggi,Murah,Slow,Laris
21,71864-79M00-ZJ3,PROTECTOR. RR BUMPER EXT SIDE (CIAZ RS),Sedang,Rendah,Murah,Slow,Laris
22,77232-82K00-000,"PROTECTOR, SIDE SILL SPLASH (CIAZ RS)",Sedang,Rendah,Murah,Slow,Laris
23,71791-60P00-000,"BRACE, FRONT BUMPER SIDE RH (SWIFT SAI)",Banyak,Tinggi,Murah,Slow,Laris
24,73821-62R00-5PK,"GARNISH,I/P CTR(BLACK)",Banyak,Tinggi,Murah,Slow,Laris
25,73821-62R30-CF4,"GARNISH,I/P CTR",Banyak,Tinggi,Murah,Slow,Laris
26,99250-68P00-000,"AC FILTER, ANTI PM2.5",Banyak,Tinggi,Murah,Fast,Laris
27,99000-99036-A16,STICKER,Sedang,Rendah,Murah,Slow,Laris
28,99000-99036-A18,STICKER,Banyak,Tinggi,Murah,Slow,Laris
29,99000-99036-B21,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,Laris
30,99000-99036-B22,"GRAPHIC SET,SPORT MIND",Sedang,Rendah,Murah,Slow,Laris
31,990E0-78R07-000,SIDE BODY MOLDING JIMNY,Sedang,Rendah,Mahal,Slow,Tidak Laris
32,99115-78R10-000,FRONT BUMPER UNDER GARNISH,Dikit,Rendah,Mahal,Slow,Tidak Laris
33,99118-78R00-BK1,"MUD FLAP FRONT,BLACK",Sedang,Rendah,Mahal,Slow,Tidak Laris
34,99118-78R10-BK1,"MUD FLAP REAR,BLACK",Sedang,Rendah,Mahal,Slow,Tidak Laris
35,99122-78R00-000,"COVER,DOOR MIRROR (CHROME)",Dikit,Rendah,Mahal,Slow,Tidak Laris
36,99126-78R00-000,DOOR HANDLE ESCUTCHEON,Sedang,Rendah,Mahal,Slow,Tidak Laris
37,99152-78R00-000,LUGGAGE NET,Sedang,Rendah,Mahal,Slow,Tidak Laris
38,99152-78R10-000,REAR GATE NET,Sedang,Rendah,Mahal,Slow,Tidak Laris
39,99233-78R00-QKJ,"AIR VENTS,HAGANE SILVER",Dikit,Rendah,Mahal,Slow,Tidak Laris
40,9923D-78R10-001,"AT SHIFT PANEL,RHD,HAGANE SILVER",Sedang,Tinggi,Mahal,Slow,Laris
41,9923D-78R10-002,"AT SHIFT PANEL,RHD,STAIN SILVER",Sedang,Rendah,Mahal,Slow,Tidak Laris
42,99112-78R10-000,SIDE UNDER GARNISH,Dikit,Rendah,Mahal,Slow,Tidak Laris
43,75901-77RK0-WBM,"MAT SET,FLOOR (MT)",Banyak,Rendah,Mahal,Slow,Tidak Laris
44,75901-77RL0-WBM,"MAT SET,FLOOR (AT)",Sedang,Tinggi,Mahal,Slow,Laris
45,99120-78R11-000,RAIN AND WIND DEFLECTOR SET,Sedang,Rendah,Murah,Slow,Laris
46,75921-76G10-BKP,"HOLDER, FLOOR MAT",Banyak,Tinggi,Murah,Slow,Laris
47,9912J-78R41-000,REAR DIFFERENTIAL GUARD,Sedang,Rendah,Mahal,Critical,Tidak Laris
48,9912J-78R31-000,FRONT DIFFERENTIAL GUARD,Sedang,Rendah,Mahal,Critical,Tidak Laris
49,990E0-78R48-000,CARGO PARTITION GRID (CROSSWISE),Dikit,Rendah,Mahal,Slow,Tidak Laris
50,99118-78R00-RD1,"MUD FLAP FRONT,RED",Sedang,Rendah,Mahal,Slow,Tidak Laris
51,99118-78R10-RD1,"MUD FLAP REAR,RED",Sedang,Rendah,Mahal,Slow,Tidak Laris
52,990J0M55T04-010,BODY SIDE MOULDING,Sedang,Rendah,Murah,Slow,Laris
53,9911C-78R01-ZSC,FRONT GRILLE,Dikit,Rendah,Mahal,Slow,Tidak Laris
54,72201M76TX0-000,MUD FLAP,Banyak,Tinggi,Murah,Slow,Laris
55,75901-80TL0-000,FLOOR MAT MT,Banyak,Tinggi,Mahal,Fast,Laris
56,75901-80TM0-000,FLOOR MAT AT,Banyak,Tinggi,Mahal,Fast,Laris
57,990E0-62R70-COV,WHEEL NUT COVER BLACK,Banyak,Tinggi,Murah,Fast,Laris
58,99112-80T10-000,SIDE UNDER GARNISH,Dikit,Rendah,Mahal,Slow,Tidak Laris
59,99120-80T10-000,DOOR VISOR,Sedang,Tinggi,Mahal,Slow,Laris
60,99126-80T10-000,DOOR HANDLE ESCUTCHEON,Sedang,Rendah,Mahal,Slow,Tidak Laris
61,99150-80T10-000,LUGGAGE MAT,Sedang,Rendah,Mahal,Slow,Tidak Laris
62,99152-80T30-000,REAR GATE NET,Sedang,Rendah,Mahal,Slow,Tidak Laris
63,99213-78R00-000,FOOT ILLUMINATION,Sedang,Rendah,Mahal,Slow,Tidak Laris
64,99213-78R10-000,GLOVE BOX ILLUMINATION,Dikit,Rendah,Mahal,Slow,Tidak Laris
65,99213-78R81-000,DOOR LAMP,Dikit,Rendah,Mahal,Slow,Tidak Laris
66,99230-78R30-001,"DECAL FOR SPARE TIRE HALF COVER, HONEYCOMB/RHINO",Dikit,Rendah,Mahal,Slow,Tidak Laris
67,99230-78R30-002,"DECAL FOR SPARE TIRE HALF COVER, CAMO/RHINO",Sedang,Rendah,Mahal,Slow,Tidak Laris
68,9923A-77RA0-000,"STICKER, RHINO",Banyak,Tinggi,Murah,Slow,Laris
69,9923B-78R51-000,"SPARE TIRE COVER, SOFT/RHINO",Sedang,Rendah,Mahal,Slow,Tidak Laris
70,9923K-78R00-000,WHEEL LOCK NUT SET,Banyak,Tinggi,Mahal,Fast,Laris
71,99250-78R00-000,AC FILTER ANTI PM 2.5,Banyak,Tinggi,Murah,Fast,Laris
72,9914R-80T10-001,"COVER,ASSISTANT GRIP BROWN",Sedang,Rendah,Mahal,Slow,Tidak Laris
73,9914R-80T10-002,"COVER,ASSISTANT GRIP BLACK",Sedang,Tinggi,Mahal,Slow,Laris
74,99176-78R11-000,MULTI ROOF RACK,Dikit,Rendah,Mahal,Slow,Tidak Laris
75,9917B-78R01-000,BICYCLE CARRIER,Dikit,Rendah,Mahal,Slow,Tidak Laris
76,990H0-990AO-060,1 SET DSP 5 CHANNEL BOX SUBWOFER,Dikit,Rendah,Mahal,Slow,Tidak Laris
77,09448-31029-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
78,11320-73001-000,"PLATE,CLUTCH HOUSING LOWER",Banyak,Tinggi,Murah,Critical,Laris
79,12620-73003-000,FLY WHEEL,Sedang,Rendah,Mahal,Critical,Tidak Laris
80,17569-82001-H17,"GASKET,WTR THERMO CAP",Banyak,Tinggi,Murah,Critical,Laris
81,25510-60B01-000,"SHAFT,GEAR SHF",Banyak,Tinggi,Murah,Critical,Laris
82,27842-63B00-000,"SEAL,DRIVE INTERMEDIATE,L",Banyak,Tinggi,Murah,Fast,Laris
83,28180-60B00-000,"HOUSING COMP,GEAR SHF CONT",Sedang,Tinggi,Murah,Critical,Laris
84,12860-82600-000,"SHAFT,INTAKE ROCKER ARM",Sedang,Rendah,Mahal,Critical,Tidak Laris
85,24761-50A00-000,"SEAL,TRANS CASE LOWER CAP",Banyak,Tinggi,Murah,Fast,Laris
86,27841-63B00-000,"SEAL,DRIVE INTERMEDIATE,R",Banyak,Tinggi,Murah,Fast,Laris
87,11139-86500-000,"SEAL,CYLINDER HEAD SIDE",Banyak,Tinggi,Murah,Fast,Laris
88,09108-06078-000,"BOLT,STUD",Banyak,Tinggi,Murah,Critical,Laris
89,09159-10045-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
90,09305-13007-000,BUSH,Banyak,Tinggi,Murah,Critical,Laris
91,09388-00007-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
92,09401-50402-000,CLAMP,Banyak,Tinggi,Murah,Slow,Laris
93,09440-04019-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
94,09440-17008-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
95,09440-27007-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
96,09448-12005-000,SPRING,Banyak,Rendah,Murah,Critical,Laris
97,11383-82000-000,"SEAL,TIMING BELT COVER INSIDE",Banyak,Tinggi,Murah,Fast,Laris
98,11610-79100-000,"MOUNT,ENGINE FR",Banyak,Tinggi,Murah,Critical,Laris
99,11710-77100-000,"MOUNT,ENGINE RR",Banyak,Tinggi,Murah,Critical,Laris
100,12313-78000-000,"RING,CRANK SEAL",Sedang,Tinggi,Murah,Critical,Laris
101,13330-84300-000,CHAMBER ASSY,Sedang,Tinggi,Mahal,Critical,Laris
102,15100-77300-000,"PUMP ASSY,FUEL",Sedang,Tinggi,Mahal,Critical,Laris
103,16910-79110-000,"GAUGE,OIL LEVEL",Banyak,Tinggi,Murah,Critical,Laris
104,17111-73010-000,"FAN,COOLING",Sedang,Tinggi,Murah,Critical,Laris
105,17551-82700-000,"CONNECTOR,WATER INTAKE",Sedang,Tinggi,Murah,Critical,Laris
106,23161-65002-000,"SUPPORT,CLUTCH BEARING",Banyak,Tinggi,Murah,Critical,Laris
107,28115-79500-000,"SEAT,GEAR SHIFT LEVER",Banyak,Tinggi,Murah,Critical,Laris
108,28115-82000-000,"SEAT,GEAR SHFT CONT LEVER",Banyak,Tinggi,Murah,Critical,Laris
109,29221-80050-000,"GEAR,T/F OUTPUT HIGH",Sedang,Rendah,Mahal,Critical,Tidak Laris
110,31171-71310-000,PULLEY,Sedang,Rendah,Murah,Critical,Laris
111,33410-77310-000,"COIL ASSY,IGNITION",Sedang,Rendah,Mahal,Critical,Tidak Laris
112,38310-80000-000,"ARM,WINDOW WIPER",Banyak,Tinggi,Murah,Slow,Laris
113,41720-82000-000,"SEAT,STRUT MOUNT",Banyak,Tinggi,Murah,Critical,Laris
114,43271-80000-000,"HOLDER,CENTER CAP RR",Sedang,Rendah,Murah,Slow,Laris
115,43461-80000-000,"NUT,FR WHEEL BEARING",Banyak,Tinggi,Murah,Fast,Laris
116,43465-80000-000,"WASHER,FR WHEEL BEARING",Sedang,Tinggi,Murah,Critical,Laris
117,48116-80030-000,"PLATE,CONTACT",Sedang,Tinggi,Murah,Critical,Laris
118,48117-80030-000,"SEAT,CONTACT",Banyak,Tinggi,Murah,Critical,Laris
119,48128-80030-000,"COLLAR,CONTACT PLATE",Sedang,Tinggi,Murah,Slow,Laris
120,48526-82000-000,"MOUNT,STEERING RACK SIDE",Banyak,Rendah,Murah,Critical,Laris
121,48571-82000-000,"BOOT,STEERING PINION SIDE",Sedang,Tinggi,Murah,Critical,Laris
122,48900-77300-000,"DRAG ROD, STEERING",Sedang,Rendah,Mahal,Critical,Tidak Laris
123,49400-79001-000,"PEDAL,ACCELERATOR",Sedang,Tinggi,Murah,Critical,Laris
124,51300-77310-000,"BOOSTER ASSY,BRAKE MASTER",Sedang,Rendah,Mahal,Critical,Tidak Laris
125,52400-67821-000,PISTON CUP/BOOT SET,Banyak,Tinggi,Mahal,Critical,Laris
126,53401-67010-000,"CYLINDER ASSY,RR RH WHEEL",Sedang,Rendah,Mahal,Critical,Tidak Laris
127,53401-83040-000,"CYLINDER ASSY,REAR WHEEL,R",Sedang,Tinggi,Mahal,Critical,Laris
128,53402-67010-000,"CYLINDER ASSY,RR LH WHEEL",Sedang,Rendah,Mahal,Critical,Tidak Laris
129,53402-83040-000,"CYLINDER ASSY,REAR WHEEL,L",Sedang,Rendah,Mahal,Critical,Tidak Laris
130,53610-58040-000,"ANCHOR ASSY,RR BRAKE SHOE",Sedang,Rendah,Mahal,Critical,Tidak Laris
131,55213-82020-000,"SPRING,ANTI RATTLE OUTER",Banyak,Tinggi,Murah,Critical,Laris
132,64520-80011-000,"PANEL,SIDE BODY FR UPPER LH",Sedang,Rendah,Murah,Slow,Laris
133,69320-80110-000,"HINGE,FR DOOR LOWER RH",Sedang,Tinggi,Murah,Slow,Laris
134,72412-80000-000,"STAY,FR WINDOW LOCK LH",Banyak,Tinggi,Murah,Slow,Laris
135,72420-80010-000,"HINGE,FRONT WINDOW",Banyak,Tinggi,Murah,Slow,Laris
136,73411-83000-55Y,"LID,GLOVE BOX INSTPNL",Sedang,Rendah,Murah,Slow,Laris
137,73910-52002-000,"HANDLE,RR GATE LOCK",Dikit,Rendah,Murah,Slow,Laris
138,77110-80810-281,"EXTENSION,FRONT FENDER,R",Sedang,Rendah,Mahal,Slow,Tidak Laris
139,77120-80810-281,"EXTENSION,FRONT FENDER,L",Dikit,Rendah,Mahal,Slow,Tidak Laris
140,77400-79891-000,LOCK SET,Dikit,Rendah,Mahal,Slow,Tidak Laris
141,83771-80100-000,"LID,BACK DOOR SERVICE HOLE",Sedang,Tinggi,Murah,Slow,Laris
142,84701-80110-281,"MIRROR ASSY,RH",Dikit,Rendah,Mahal,Slow,Tidak Laris
143,84702-80110-281,"MIRROR ASSY,LH",Dikit,Rendah,Mahal,Slow,Tidak Laris
144,86101-73080-281,"MIRROR ASSY,RH",Sedang,Rendah,Mahal,Slow,Tidak Laris
145,86102-73080-281,"MIRROR ASSY,LH",Sedang,Rendah,Mahal,Slow,Tidak Laris
146,89260-82101-000,"CAP ASSY,FUEL FILLER",Sedang,Tinggi,Murah,Slow,Laris
147,09471-12106-000,"BULB,12V55W,H3",Banyak,Tinggi,Murah,Fast,Laris
148,11710-63B10-000,"MOUNTING COMP,ENGINE,RR",Sedang,Tinggi,Mahal,Critical,Laris
149,17111-84000-000,FAN,Sedang,Tinggi,Murah,Critical,Laris
150,09159-16011-000,NUT,Banyak,Tinggi,Murah,Fast,Laris
151,38452-60B00-000,"CAP,WASHER TANK",Sedang,Rendah,Murah,Slow,Laris
152,72311-60B00-000,"LINING,FRONT FENDER,R",Sedang,Rendah,Mahal,Slow,Tidak Laris
153,72316-60B00-000,"LINING,FRONT FENDER,L",Banyak,Tinggi,Mahal,Slow,Tidak Laris
154,41742-60B00-000,"WASHER,BEARING UPPER",Sedang,Tinggi,Murah,Critical,Laris
155,41743-60B00-000,"WASHER,BEARING LOWER",Banyak,Tinggi,Murah,Critical,Laris
156,41744-60B00-000,"SPACER,FRONT STRUT BEARING",Banyak,Tinggi,Murah,Critical,Laris
157,84702-83000-5PK,"MIRROR ASSY,OUT REAR VIEW,L",Dikit,Rendah,Mahal,Slow,Tidak Laris
158,09283-56002-000,"SEAL,OIL,56X72.2X7.8",Banyak,Tinggi,Murah,Fast,Laris
159,09381-65004-000,CIRCLIP,Sedang,Rendah,Murah,Slow,Laris
160,09440-24010-000,SPRING,Sedang,Rendah,Murah,Critical,Laris
161,09440-24011-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
162,09443-12038-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
163,11390-60A11-000,"COVER,TIMING BELT,OUTSIDE",Banyak,Tinggi,Murah,Critical,Laris
164,11710-77500-000,"MOUNTING COMP,ENGINE REAR",Banyak,Tinggi,Mahal,Critical,Laris
165,12140-60A50-000,"RING SET,PISTON",Banyak,Tinggi,Mahal,Critical,Laris
166,12140-60A50-050,"RING SET,PISTON,OS:050",Sedang,Tinggi,Mahal,Critical,Laris
167,12821-60A01-000,"SPRING,TENSIONER",Sedang,Tinggi,Murah,Critical,Laris
168,17550-77500-000,"PIPE,WATER INLET",Banyak,Tinggi,Mahal,Fast,Laris
169,23269-60A00-000,"SPRING,CLUTCH RLSE RTN",Banyak,Tinggi,Murah,Critical,Laris
170,24110-77500-000,"SHAFT,T/M INPUT",Sedang,Rendah,Mahal,Critical,Tidak Laris
171,24741-77501-000,"RETAINER,INPUT SHAFT BEARING",Sedang,Tinggi,Murah,Critical,Laris
172,35170-77500-000,SOCKET,Banyak,Tinggi,Murah,Fast,Laris
173,37610-77500-000,"SWITCH ASSY,BACK-UP LAMP",Sedang,Rendah,Murah,Slow,Laris
174,38102-77500-000,"LINK ASSY,WIPER",Sedang,Rendah,Mahal,Critical,Tidak Laris
175,41331-77500-000,"BUSHING,REAR SPRING,FRONT",Banyak,Tinggi,Murah,Critical,Laris
176,42150-77500-000,"BUMPER COMP,REAR SPRING",Banyak,Tinggi,Murah,Slow,Laris
177,45341-77500-000,"BUSHING,TENSION ROD",Sedang,Tinggi,Murah,Critical,Laris
178,48500-77500-000,"BOX ASSY,STRG GEAR",Dikit,Rendah,Mahal,Critical,Laris
179,48534-77500-000,"PLUNGER,STEERING RACK",Banyak,Tinggi,Murah,Critical,Laris
180,48571-77500-000,"BOOT,STEERING RACK,NO.1",Banyak,Tinggi,Murah,Critical,Laris
181,48572-77500-000,"BOOT,STEERING RACK,NO.2",Banyak,Rendah,Murah,Critical,Laris
182,48900-77500-000,"ROD ASSY,STEERING DRAG",Sedang,Rendah,Mahal,Critical,Tidak Laris
183,49400-77500-000,"PEDAL ASSY,ACCEL",Sedang,Rendah,Mahal,Critical,Tidak Laris
184,62381-79000-000,"NUT,INSTRUMENT PANEL SUPPORT",Banyak,Tinggi,Murah,Fast,Laris
185,09283-17022-000,"SEAL,OIL,17X28X7",Banyak,Tinggi,Murah,Fast,Laris
186,23266-77501-000,"ARM,CLUTCH RLSE",Sedang,Tinggi,Murah,Critical,Laris
187,33321-63B10-000,"CAP,DISTRIBUTOR",Dikit,Rendah,Murah,Slow,Laris
188,38274-74300-000,CAP,Banyak,Rendah,Murah,Slow,Tidak Laris
189,81810-77500-000,"STOP COMP,FRONT DOOR OPEN",Sedang,Rendah,Murah,Slow,Laris
190,84752-85700-5PK,"GARNISH,BRKT INR,R(BLACK)",Sedang,Rendah,Murah,Slow,Laris
191,38101-70A00-000,"MOTOR ASSY,WIPER",Dikit,Rendah,Mahal,Critical,Laris
192,53402-63B00-000,"CYLINDER ASSY,REAR WHEEL L",Sedang,Tinggi,Mahal,Critical,Laris
193,15101-63B04-000,"GAUGE & PUMP SET,FUEL",Dikit,Rendah,Mahal,Critical,Laris
194,37400-60B12-000,"SWITCH ASSY,COMB",Dikit,Rendah,Mahal,Slow,Tidak Laris
195,12761-77500-000,"BELT,TIMING",Sedang,Tinggi,Murah,Critical,Laris
196,09283-50005-000,"SEAL,OIL,50X65X7",Banyak,Tinggi,Murah,Fast,Laris
197,46630-60B01-000,"JOINT,STABILIZER BAR",Sedang,Tinggi,Murah,Critical,Laris
198,41800-72C50-000,"STRUT ASSY,REAR SUSPENSION",Dikit,Rendah,Mahal,Critical,Laris
199,43431-60B20-000,"SEAL,FR WHL BRG INNER OIL",Banyak,Tinggi,Murah,Fast,Laris
200,34113-70A01-000,"HOOD ASSY,METER",Sedang,Tinggi,Mahal,Slow,Laris
201,11189-73002-000,"GASKET,CYLINDER HEAD",Sedang,Tinggi,Murah,Critical,Laris
202,49160-60E10-000,"PULLEY,BELT TENSION",Sedang,Rendah,Mahal,Critical,Tidak Laris
203,09280-24009-000,"O RING,D:3.6,ID:23.5",Banyak,Tinggi,Murah,Fast,Laris
204,09401-57901-000,CLAMP,Sedang,Tinggi,Murah,Slow,Laris
205,09440-05037-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
206,09440-08029-000,SPRING,Banyak,Tinggi,Murah,Critical,Laris
207,11710-60A01-000,"MOUNTING COMP,ENG RR",Banyak,Tinggi,Mahal,Critical,Laris
208,14181-60A20-000,"GASKET,EXH MANIF & CTR PIPE",Dikit,Rendah,Mahal,Critical,Laris
209,28138-60A01-000,"BOOT,GEAR SHF CONT LEVER NO.3",Banyak,Rendah,Murah,Slow,Tidak Laris
210,34810-60A11-000,"GAUGE ASSY,FUEL LEVEL",Dikit,Rendah,Mahal,Critical,Laris
211,38450-61A00-000,"TANK ASSY,WASHER",Sedang,Rendah,Mahal,Slow,Tidak Laris
212,48721-60A00-000,"ARM,IDLER",Banyak,Tinggi,Mahal,Critical,Laris
213,48750-60A00-000,"BUSHING,IDLER ARM",Sedang,Tinggi,Murah,Critical,Laris
214,53441-56B00-000,"SPRING,WHEEL CYLINDER",Sedang,Tinggi,Murah,Critical,Laris
215,72115-56B01-000,"CLIP,FRONT GRILLE",Banyak,Tinggi,Murah,Slow,Laris
216,72115-60A00-000,"CLIP,FRONT GRILLE",Sedang,Tinggi,Murah,Slow,Laris
217,72481-60A01-000,"LINING,FRONT FENDER,R",Sedang,Rendah,Mahal,Slow,Tidak Laris
218,72482-60A01-000,"LINING,FRONT FENDER,L",Sedang,Tinggi,Mahal,Slow,Laris
219,73610-60A10-5PK,"LOUVER,CENTER VENT",Banyak,Rendah,Mahal,Slow,Tidak Laris
220,09263-25051-000,"BEARING,25.4X33.3X31.7",Sedang,Tinggi,Murah,Critical,Laris
221,15410-63401-000,FUEL FILTER ST-100/SJ-410,Banyak,Rendah,Murah,Fast,Laris
222,73210-70A00-5PK,"LOUVER ASSY,VENTILATOR,R",Sedang,Rendah,Murah,Slow,Laris
223,11141-73003-000,"GASKET,CYLINDER HEAD",Sedang,Tinggi,Mahal,Critical,Laris
224,53401-56B00-000,"CYLINDER ASSY,RR WHEEL BRAKE,R",Sedang,Rendah,Mahal,Critical,Tidak Laris
225,55191-56B00-000,"PIN,CYLINDER SLIDE",Sedang,Tinggi,Murah,Critical,Laris
226,09265-25029-000,"BEARING,25X52X19.25",Banyak,Tinggi,Mahal,Critical,Laris
227,12911-71C00-000,"VALVE,INTK",Sedang,Tinggi,Murah,Critical,Laris
228,23820-70C00-000,"CYLINDER ASSY,CLUTCH OPERATING",Dikit,Rendah,Mahal,Critical,Laris
229,24431-70C00-000,"RING,1ST GEAR SYNCH",Sedang,Tinggi,Murah,Critical,Laris
230,27432-70C00-000,"SEAL,DIFF SIDE OIL",Banyak,Tinggi,Murah,Fast,Laris
231,09448-31030-000,SPRING,Sedang,Rendah,Murah,Critical,Laris
